NU_INSCRICAO,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT
210057273442,ABEABDCBCADEBBCBBEEDBAEDACCBCBCACCBCCECDECEDB,CCAABDDDBCEDECEDEEABADAAAEDCBDDDCECCEEBCDADCE,ABBBCDCADECBDDBABBEDABCEDCEEDBCAADECCDAEECECA,EDCDCBDECEBDDECDACCBEABBCCDBCEBCDCDBCECAEBBDE
210056790835,,,,
210055174608,AADDBECAABCCEDCBBCCCEAABACDBADBEBDAEDDCACDBBC,BEACEDDABBBECBBBACABACABAAEABEBECACABECBDECEA,EBBDDBDBAADBCDCABAABBECEBCBBAABADACBDCAEBDACA,DAECECDEECDCDDBEAEBDEEABBDCBBDAEDBDCDECAAEBDD
210057138476,,,,
210054743198,EDADDBDDBEACBCEEDBCABBCBCDACBEECDCBAEADADABCB,ECDDBADDDAEBACBBCAEBAEACDCEDABEDDCCABAEDCAADB,DCEEADDBCACDDCEABDBDECEEBDDACBBABDBCCCCABEDBB,DCEAACBCDABDBECDCCAABDCABCABDEBCBDBDBCCCDBEAD
210057776261,DBEAACBAABDCAABBACADBCDACEEABDAAAEBDBCDEDACCC,CEAACDDAEDAADCBECAEBBDBBADBBDBDABACDDBADEDACA,DDBDEDDAAEBBBDBABECDBEAECCDBDCAAADBCABAEBDCEE,BDBCECCBBDABCBBDEEDCBEABDACBCEBEDBAADECDEBEAB
210055747399,,,,
210057408730,DDECDBADBCAABBDACBECBBDBBDACCEAEEACCADDCBDBEE,EDABBADDDDECBBBACEDBAECBDEAD.DBCDAEABAE.AAADC,DECDBDBECACAEEEAADDCAEEEEBBCAAAABDBCBDACEDCBA,BEEBAEAEDCCDCCDDDBADBBBCCECEEEAEAAEAABCECDEBD
210056713911,EAEDBECCACDCCAADACCDBCCAECCEABAADEBDBCBDDABEB,DCABCEDAEDAAECBECDABCDDBAADBCEDAEABCBBDDCBBCE,DCBDBCDBAEABEBBBABCCBAECBCCBBBAEEDADADACADBAE,DBBAACEBEBAECCBEAADEDBECBBACBEAEDBCBDBCDCEAAC
210055706588,,,,
210057367895,ABEEBDBCAECADEBDBCBCDCEDCACAEDAECCADBEADEECDA,CEABAEABCDACDBBDAACBAEBDAEDBCEDAACCDEBDCAADCA,DEABDECBADAABDBCBBCBEEEDCDDADBCCDDBABCEEEBBAB,DABEBCDCEDCBDAECABDCCAEACDDCBEBADDDCBCBCBEDDE
210057965715,ADEACBACEEDCBBDACBCCDBEABEADDBDECACEBEDCAECBD,EDBABCBDEEEBDABCCCEEACDDEEDEBEDDCBAABAEDAAEEC,AAEADDCBCCEADECADDBDBAEABBEAECBAEDBCAAABDECBC,CCBCACABAABDEBCDEBECDDCCBDEACAABEDAEBEEBDBCDE
210054797472,,,,
210056350337,ABBDCDEEDACDBEACBCCAADCBABEBECDEAABCEBCEACEAB,BEECBEAACDABCEEEBBCECEBAAED*EDCADBEACCEBEDDDA,EDBDEECEABEBCDBCEACCBEDECCECBDCCEDBCADADBBCEC,BBADBCADECBCAEEDCBCACBBAADACBCEAEBCDDCEECAECB
210055559593,CCDDCAEBDCACBCEABBBEDCCDCEABCBABEAABCEDCBBACD,EBBABDAECDCBBACBADBBACEBACEDAAEADBEACBBACAABC,BCABAABDBCCEBAACADBCCEADBCAADADABBECAEDBCEABC,BCEAACAAACBDEABCAEBBCAEAADABDCABCEADCCAEABDAD
210055456479,,DBCACBEDACBEADBEDBEAACBEACADDDCBCACBBADCECABA,BACCACAEDEABCBBCEEADDBEBDCBDEDACABEBAAADEEDCA,
210057874135,,,,
210057098758,,,,
210055040134,ADBDDEBEDBEBBDBEEACDACDCDBDDCABBEBCCCDACDCAEE,BCDDEDECAACCDCBDAAEECCCBADDEABBEBBACACBDBDEAB,EAECECEEDEDBDBCDAAEAEEAABADAECADEEAAADBDBEEEB,EACDAADCCDBEAADAEEDECDECEBDCAACECEBAADAEEECBB
210057458246,,,,
210056708701,ABDDDEBCACBBBBBBADCBBADECBCBBCCACDBDEDDDAACCE,BBACADECDDACACEDEAABECDDAEBBABDEBADBAADCAEEAB,ABAEECABDBCDBACDBCEAEEEBEADDECEEAADEBCBDEBBEA,BCECBACEAECEAACDEADBBEEEABCACBDDAEAADABECEDBA
210055572332,,,,
210057164370,,,,
210057410793,EBDBACCDACEBBDAEACEDADDECACADBABABBCECADDDCDE,BADCAEBDDAADDEBCAAAABADDAEDDABDECCDDBEEDBAEAC,BDBCDCCADABEABCBAEBAEECABADAEAEBEECCADBDBDBCA,ECDAEBECEDBCADCEADCED*CEBACADEDBAEEBBEAECBDBB
210057734258,ADECDCEDEBEADCCBCBDCBEDCDDAEAABCDAADEECBCEDCE,EBDABAEDBEECBDBDEBADABABDCDDBBAEDCAABCECBAADD,DECDBDDACADCECAAADABCBCEBEDAEEEABDBCCDABEECCB,BCEDACAEDDBDCBBECBBBAADECDECADDBCDBABDEABDCBB
210055908626,DBBECDBAADBCEECDADBCBECEAABDABCEECBBEDCAEACDA,AEAECACBEBADCBEEACABDEDBABEBADBDBCCBAECDDECCB,DCDCEBBCAEABDDEADBBABAEECCDADECEADBEADEEDCAAC,ABCBDBEDDCACDDABCDBDCAAECCBBCEDEDBCABDCECABDB
210057258835,DCBCCCEBBDEADCDBBACCEEACABBEDEACCAABDEBEACAAA,ECADBDCEEAEECEACCAADBDEEEAADBEDCDBEACEECDAACA,BEAAAADBCDCDEDEECABABDCADDDBEBBACAEBAABBDEDAE,BEAAEEDCCBCCEBCAACBBCDEABEABCCDBBCEADDCCBBCEE
210054941799,CEECCEDBEABCBACCAACEBBACAECBBDDCBCBCDCDADCDBA,BECDAEEDDBABACDBCCABDCCABCDABCEAEADDEAACBBDBC,DDEDCCEEDDEBBADDAEAEBEDDDABEACECBCCDABCCABCBD,BCADEDAEDDBCBEBDCEBDBCACCEAEBCDBAABCEADDDABDD
210054968157,AECDBECBCACBEAEDECDEECABCACCCEDEADBDECDABBEBE,AECEECBECEDABACEAAADBCACEADEACECBBCBBAADCEDAA,EEBBBAEDAEEACEAAEADABEEAABAABAAABCAEECDAAECDB,ECACADACBACECBBACCBDCEB*BDCECDCADDECACDCABCDB
210056721731,,,,
210055456410,CBDCDECBDEEDCBCCCDBEDBACBCADBBEACBECDACCEBDBD,BBCAAADCDECCEDDAAEABABACCCEDADEACDADECAEBEACD,CDDDEDAEBDBDBCDABCACEDEAEAABBEEBEACBBABEDCCCC,EABCCDBDCDEBBEAEDBCEDCADECDBBDDCEBCBDBBCEEAAD
210057827819,,,,
210057986383,,,,
210055754866,EBDBDDBDCBBDCACEDCECBCCBCDBCBDCDBDBCCECADCCBC,BCACAACBEDABDCDEACCBADDEADECCBDCCDCDEACDDCECE,ADBBECAEAEABBDBCDADBDAEBBCDBDEBCDDBCCBCDBAECA,CBDCABCDEAECBCCDC*DCDCBECCAECAADCDCADDCDABBAE
210057161301,,,,
210054960309,,,,
210056399584,ECCBBDEBDBCBBDAEBCCCDDAECAEEBCCEBACEBBCDCBBBD,DAEEAABCDBADDDBBDAECACDABEECEBBDADDDEBDECBDAD,ECCEDCEADACBEADCBBBADEEACEBACEEAEACEADECBDCCA,CBCBBBCDABABDCCCDBCDBDDAEBCABCBDBCEAEDBEEEABE
210056178603,,,,
